"COUNTY","SVPREC","DISTRICT","TOTVOTE","DEM01","DEM02","REP01","REP02"
1,"200100",12,204,102,102,0,0
1,"200100A",12,2439,1668,771,0,0
1,"200200",12,207,108,99,0,0
1,"200200A",12,1576,1063,513,0,0
1,"201400",12,237,139,98,0,0
1,"201400A",12,2427,1688,739,0,0
1,"202200",12,73,35,38,0,0
1,"202200A",12,285,192,93,0,0
1,"202500",12,315,172,143,0,0
1,"202500A",12,234,150,84,0,0
1,"202620",12,718,366,352,0,0
1,"202620A",12,248,153,95,0,0
1,"203100",12,111,74,37,0,0
1,"203100A",12,1918,1382,536,0,0
1,"203500",12,213,131,82,0,0
1,"203500A",12,1196,861,335,0,0
1,"203800",12,158,88,70,0,0
1,"203800A",12,1542,1170,372,0,0
1,"203880",12,NA,NA,NA,NA,NA
1,"203880A",12,20,18,2,0,0
1,"203890",12,0,0,0,0,0
1,"203890A",12,28,23,5,0,0
1,"204210",12,440,229,211,0,0
1,"204210A",12,1031,686,345,0,0
1,"204300",12,281,167,114,0,0
1,"204300A",12,1521,1138,383,0,0
1,"204900",12,371,209,162,0,0
1,"204900A",12,323,200,123,0,0
1,"205200",12,144,80,64,0,0
1,"205200A",12,3065,2109,956,0,0
1,"205700",12,200,130,70,0,0
1,"205700A",12,2623,1832,791,0,0
1,"206200",12,160,90,70,0,0
1,"206200A",12,1355,990,365,0,0
1,"206900",12,154,76,78,0,0
1,"206900A",12,807,561,246,0,0
1,"207000",12,113,69,44,0,0
1,"207000A",12,1377,1029,348,0,0
1,"207200",12,181,101,80,0,0
1,"207200A",12,1616,1194,422,0,0
1,"207700",12,654,325,329,0,0
1,"207700A",12,1123,705,418,0,0
1,"208010",12,237,138,99,0,0
1,"208010A",12,2264,1635,629,0,0
1,"208300",12,279,187,92,0,0
1,"208300A",12,2096,1616,480,0,0
1,"208510",12,274,180,94,0,0
1,"208510A",12,1356,1047,309,0,0
1,"208690",12,0,0,0,0,0
1,"208690A",12,24,23,1,0,0
1,"208800",12,146,101,45,0,0
1,"208800A",12,728,532,196,0,0
1,"208820",12,34,24,10,0,0
1,"208820A",12,237,179,58,0,0
1,"208900",12,100,73,27,0,0
1,"208900A",12,804,604,200,0,0
1,"209010",12,259,169,90,0,0
1,"209010A",12,2645,1979,666,0,0
1,"209310",12,306,196,110,0,0
1,"209310A",12,3774,2637,1137,0,0
1,"209700",12,201,111,90,0,0
1,"209700A",12,1560,1091,469,0,0
1,"209900",12,465,270,195,0,0
1,"209900A",12,2445,1663,782,0,0
1,"213100",12,68,31,37,0,0
1,"213100A",12,761,490,271,0,0
1,"213500",12,162,74,88,0,0
1,"213500A",12,2174,1145,1029,0,0
1,"213600",12,227,112,115,0,0
1,"213600A",12,2985,1798,1187,0,0
1,"213920",12,NA,NA,NA,NA,NA
1,"213920A",12,44,23,21,0,0
1,"214300",12,104,56,48,0,0
1,"214300A",12,1422,850,572,0,0
1,"214600",12,173,112,61,0,0
1,"214600A",12,2473,1783,690,0,0
1,"215110",12,226,149,77,0,0
1,"215110A",12,2108,1646,462,0,0
1,"215400",12,89,61,28,0,0
1,"215400A",12,955,675,280,0,0
1,"215500",12,220,132,88,0,0
1,"215500A",12,2649,1855,794,0,0
1,"215700",12,219,162,57,0,0
1,"215700A",12,2088,1689,399,0,0
1,"215800",12,204,146,58,0,0
1,"215800A",12,1141,892,249,0,0
1,"223010",12,244,150,94,0,0
1,"223010A",12,2824,2053,771,0,0
1,"224000",12,182,124,58,0,0
1,"224000A",12,3250,2193,1057,0,0
1,"224500",12,86,57,29,0,0
1,"224500A",12,1316,984,332,0,0
1,"224600",12,106,62,44,0,0
1,"224600A",12,1803,1339,464,0,0
1,"224800",12,111,82,29,0,0
1,"224800A",12,981,690,291,0,0
1,"225300",12,137,99,38,0,0
1,"225300A",12,1266,954,312,0,0
1,"225710",12,212,150,62,0,0
1,"225710A",12,2179,1631,548,0,0
1,"225900",12,156,113,43,0,0
1,"225900A",12,1952,1452,500,0,0
1,"244000",12,148,67,81,0,0
1,"244000A",12,2176,1315,861,0,0
1,"244300",12,291,138,153,0,0
1,"244300A",12,3695,2267,1428,0,0
1,"245000",12,92,62,30,0,0
1,"245000A",12,1883,1360,523,0,0
1,"245300",12,91,50,41,0,0
1,"245300A",12,1417,809,608,0,0
1,"260100",12,345,182,163,0,0
1,"260100A",12,2221,1254,967,0,0
1,"261300",12,233,126,107,0,0
1,"261300A",12,2482,1537,945,0,0
1,"262000",12,254,139,115,0,0
1,"262000A",12,2908,1910,998,0,0
1,"280100",12,254,115,139,0,0
1,"280100A",12,3058,1747,1311,0,0
1,"280700",12,225,89,136,0,0
1,"280700A",12,2846,1438,1408,0,0
1,"300110",12,101,30,71,0,0
1,"300110A",12,1404,515,889,0,0
1,"300130",12,129,43,86,0,0
1,"300130A",12,1820,806,1014,0,0
1,"300150",12,148,50,98,0,0
1,"300150A",12,2953,1237,1716,0,0
1,"300300",12,186,110,76,0,0
1,"300300A",12,2711,1521,1190,0,0
1,"301900",12,323,178,145,0,0
1,"301900A",12,3037,1771,1266,0,0
1,"302200",12,262,141,121,0,0
1,"302200A",12,3279,1935,1344,0,0
1,"302700",12,338,176,162,0,0
1,"302700A",12,2392,1427,965,0,0
1,"303800",12,335,172,163,0,0
1,"303800A",12,2685,1549,1136,0,0
1,"304800",12,439,234,205,0,0
1,"304800A",12,3168,1767,1401,0,0
1,"305110",12,326,165,161,0,0
1,"305110A",12,2294,1267,1027,0,0
1,"305500",12,317,186,131,0,0
1,"305500A",12,2147,1236,911,0,0
1,"305700",12,265,131,134,0,0
1,"305700A",12,2783,1542,1241,0,0
1,"310000",12,364,260,104,0,0
1,"310000A",12,2709,2136,573,0,0
1,"310120",12,NA,NA,NA,NA,NA
1,"310120A",12,19,16,3,0,0
1,"310600",12,322,256,66,0,0
1,"310600A",12,2565,2121,444,0,0
1,"311400",12,322,261,61,0,0
1,"311400A",12,2633,2135,498,0,0
1,"323200",12,269,201,68,0,0
1,"323200A",12,2501,1822,679,0,0
1,"325100",12,390,289,101,0,0
1,"325100A",12,2659,1987,672,0,0
1,"325400",12,255,187,68,0,0
1,"325400A",12,1826,1404,422,0,0
1,"325600",12,268,193,75,0,0
1,"325600A",12,2048,1571,477,0,0
1,"333200",12,385,282,103,0,0
1,"333200A",12,1958,1371,587,0,0
1,"333210",12,34,27,7,0,0
1,"333210A",12,268,182,86,0,0
1,"333410",12,207,135,72,0,0
1,"333410A",12,1765,1082,683,0,0
1,"333460",12,53,41,12,0,0
1,"333460A",12,107,68,39,0,0
1,"333810",12,79,53,26,0,0
1,"333810A",12,688,465,223,0,0
1,"333900",12,140,100,40,0,0
1,"333900A",12,866,535,331,0,0
1,"333910",12,153,109,44,0,0
1,"333910A",12,585,398,187,0,0
1,"334000",12,174,132,42,0,0
1,"334000A",12,1255,903,352,0,0
1,"334510",12,20,17,3,0,0
1,"334510A",12,122,79,43,0,0
1,"334610",12,NA,NA,NA,NA,NA
1,"334610A",12,31,23,8,0,0
1,"334800",12,180,115,65,0,0
1,"334800A",12,1153,721,432,0,0
1,"335100",12,381,272,109,0,0
1,"335100A",12,1739,1273,466,0,0
1,"335110",12,20,12,8,0,0
1,"335110A",12,119,92,27,0,0
1,"335400",12,340,274,66,0,0
1,"335400A",12,1188,914,274,0,0
1,"335700",12,317,225,92,0,0
1,"335700A",12,1295,923,372,0,0
1,"335710",12,341,247,94,0,0
1,"335710A",12,1566,1171,395,0,0
1,"335810",12,12,10,2,0,0
1,"335810A",12,78,52,26,0,0
1,"336200",12,475,345,130,0,0
1,"336200A",12,1975,1431,544,0,0
1,"336610",12,356,288,68,0,0
1,"336610A",12,1284,954,330,0,0
1,"336710",12,325,255,70,0,0
1,"336710A",12,1451,1124,327,0,0
1,"336900",12,178,134,44,0,0
1,"336900A",12,873,590,283,0,0
1,"344000",12,221,162,59,0,0
1,"344000A",12,1258,840,418,0,0
1,"344200",12,170,121,49,0,0
1,"344200A",12,1783,1310,473,0,0
1,"344410",12,45,34,11,0,0
1,"344410A",12,610,444,166,0,0
1,"344700",12,81,46,35,0,0
1,"344700A",12,1564,1078,486,0,0
1,"345310",12,115,70,45,0,0
1,"345310A",12,507,384,123,0,0
1,"345320",12,NA,NA,NA,NA,NA
1,"345320A",12,10,6,4,0,0
1,"345500",12,267,207,60,0,0
1,"345500A",12,2562,1843,719,0,0
1,"345700",12,106,75,31,0,0
1,"345700A",12,1571,1019,552,0,0
1,"345710",12,0,0,0,0,0
1,"345710A",12,77,45,32,0,0
1,"345900",12,121,70,51,0,0
1,"345900A",12,1547,976,571,0,0
1,"346000",12,19,9,10,0,0
1,"346000A",12,304,202,102,0,0
1,"346100",12,162,118,44,0,0
